Placeholder,CMD,Contract,Date,Metric,Level,Change
1,lu,2609,8/21/2026,Short Position,2366,-482
1,lu,2610,8/21/2026,Short Position,65988,22
1,lu,2611,8/21/2026,Short Position,45779,994
1,fu,2609,8/21/2026,Short Position,29118,-10354
1,fu,2610,8/21/2026,Short Position,42203,961
1,fu,2611,8/21/2026,Short Position,206442,16357
1,fu,2701,8/21/2026,Short Position,65580,-808
1,bu,2609,8/21/2026,Short Position,40203,-9511
1,bu,2610,8/21/2026,Short Position,224421,1484
1,bu,2611,8/21/2026,Short Position,95936,7448
1,bu,2612,8/21/2026,Short Position,83494,7723
1,br,2609,8/21/2026,Short Position,10641,-197
1,br,2610,8/21/2026,Short Position,82972,-4533
1,ru,2609,8/21/2026,Short Position,18174,-1072
1,ru,2701,8/21/2026,Short Position,101869,2658
1,ru,2705,8/21/2026,Short Position,11098,348
1,nr,2609,8/21/2026,Short Position,3407,-333
1,nr,2610,8/21/2026,Short Position,46311,-560
1,nr,2611,8/21/2026,Short Position,32935,1855
1,nr,2612,8/21/2026,Short Position,24248,1921
1,nr,2701,8/21/2026,Short Position,20326,586
1,sp,2609,8/21/2026,Short Position,37907,-6652
1,sp,2611,8/21/2026,Short Position,182646,-12520
1,sp,2701,8/21/2026,Short Position,84269,4001
1,op,2609,8/21/2026,Short Position,4659,-199
1,op,2610,8/21/2026,Short Position,18866,-100
1,cu,2609,8/20/2026,Volume,94667,-37391
1,cu,2610,8/20/2026,Volume,76999,-27080
1,cu,2611,8/20/2026,Volume,18818,-9364
1,cu,2612,8/20/2026,Volume,10815,-2662
1,cu,2701,8/20/2026,Volume,3996,-2220
1,cu,2703,8/20/2026,Volume,3086,-16
1,bc,2609,8/20/2026,Volume,15933,-3262
1,al,2609,8/20/2026,Volume,118551,-64581
1,al,2610,8/20/2026,Volume,252207,-17834
1,al,2611,8/20/2026,Volume,65025,7564
1,al,2612,8/20/2026,Volume,24499,1253
1,al,2701,8/20/2026,Volume,10381,-4328
1,zn,2609,8/20/2026,Volume,70902,-49384
1,zn,2610,8/20/2026,Volume,214541,-57116
1,zn,2611,8/20/2026,Volume,43662,-4235
1,pb,2609,8/20/2026,Volume,27950,-14645
1,pb,2610,8/20/2026,Volume,89491,-14699
1,pb,2611,8/20/2026,Volume,13686,1155
1,ni,2609,8/20/2026,Volume,288674,74952
1,ni,2610,8/20/2026,Volume,168946,71541
1,ni,2611,8/20/2026,Volume,42036,13486
1,ni,2612,8/20/2026,Volume,13065,5352
1,sn,2609,8/20/2026,Volume,186173,-23850
1,sn,2610,8/20/2026,Volume,91252,-455
1,sn,2611,8/20/2026,Volume,23772,1436
1,ao,2609,8/20/2026,Volume,45903,17417
1,ao,2610,8/20/2026,Volume,313512,134303
1,ao,2611,8/20/2026,Volume,27559,16039
1,ao,2701,8/20/2026,Volume,35790,17952
1,ad,2609,8/20/2026,Volume,1687,-933
1,ad,2610,8/20/2026,Volume,12135,-4893
1,au,2610,8/20/2026,Volume,546415,118082
1,au,2612,8/20/2026,Volume,108161,33006
1,au,2702,8/20/2026,Volume,35555,12031
1,ag,2610,8/20/2026,Volume,1020206,92274
1,ag,2612,8/20/2026,Volume,182495,17867
1,ag,2702,8/20/2026,Volume,273870,30065
1,rb,2609,8/20/2026,Volume,27166,13551
1,rb,2610,8/20/2026,Volume,1325396,157030
1,rb,2611,8/20/2026,Volume,66736,10478
1,rb,2701,8/20/2026,Volume,487944,96562
1,rb,2703,8/20/2026,Volume,38944,19133
1,hc,2609,8/20/2026,Volume,7311,1211
1,hc,2610,8/20/2026,Volume,463304,-28294
1,hc,2611,8/20/2026,Volume,70345,7259
1,hc,2701,8/20/2026,Volume,229568,29056
1,ss,2609,8/20/2026,Volume,17407,5322
1,ss,2610,8/20/2026,Volume,326839,110146
1,lu,2609,8/20/2026,Volume,4199,-5291
1,lu,2610,8/20/2026,Volume,197074,-61330
1,lu,2611,8/20/2026,Volume,63246,-17369
1,fu,2609,8/20/2026,Volume,708843,48102
1,fu,2610,8/20/2026,Volume,206600,56491
1,fu,2611,8/20/2026,Volume,825297,181468
1,fu,2701,8/20/2026,Volume,105216,13366
1,bu,2609,8/20/2026,Volume,172269,-1895
1,bu,2610,8/20/2026,Volume,609152,248479
1,bu,2611,8/20/2026,Volume,81466,35967
1,bu,2612,8/20/2026,Volume,89248,42668
1,br,2609,8/20/2026,Volume,93493,13513
1,br,2610,8/20/2026,Volume,402015,82403
1,ru,2609,8/20/2026,Volume,69572,8526
1,ru,2701,8/20/2026,Volume,381660,49149
1,ru,2705,8/20/2026,Volume,15321,6580
1,nr,2609,8/20/2026,Volume,5311,982
1,nr,2610,8/20/2026,Volume,109452,7597
1,nr,2611,8/20/2026,Volume,56593,4686
1,nr,2612,8/20/2026,Volume,18506,-222
1,nr,2701,8/20/2026,Volume,11639,3555
1,sp,2609,8/20/2026,Volume,52165,-15941
1,sp,2611,8/20/2026,Volume,550169,61836
1,sp,2701,8/20/2026,Volume,70273,6584
1,op,2609,8/20/2026,Volume,3898,362
1,op,2610,8/20/2026,Volume,10715,288
1,cu,2609,8/20/2026,Long Position,110653,-5989
1,cu,2610,8/20/2026,Long Position,114474,-996
1,cu,2611,8/20/2026,Long Position,42946,254
1,cu,2612,8/20/2026,Long Position,44531,491
1,cu,2701,8/20/2026,Long Position,22838,151
1,cu,2703,8/20/2026,Long Position,15530,685
