"SHFE Member/OSP Volume, Open Interest Rankings",,,,,,,,,,,
,,,,,,,,,,,
Date: 2026-08-21,,,,,,,,,,,
"Note: FF Member/OSBP may not engage in trading of its own futures, the above volume and positions ranking data of FF Member/OSBP Clearing Members refers to he participation of all clients who are engaging in brokerage business during the statistical period. FF Member/OSBP engaging in brokerage business shall accept entrustment by its clients to conduct futures trading in its own name on behalf of the client.",,,,,,,,,,,
Member/OSP Type,Total Volume,Change from Previous Trading Day,Member/OSP Type,Total Long Position,Change from Previous Trading Day,Member/OSP Type,Total Short Position,Change from Previous Trading Day,,,
Contract Code：cuall,,,,,,,2026-08-21,,,,
Name of FF Member/OSBP,336368,36254,Name of FF Member/OSBP,539420,-2971,Name of FF Member/OSBP,530553,-3111,,,
Name of Non-FF Member/OSNBP,2668,-566,Name of Non-FF Member/OSNBP,2224,75,Name of Non-FF Member/OSNBP,11091,215,,,
Ranking,Name of FF Member /OSBPs,Volume,Change from Previous Trading Day,Ranking,Name of FF Member /OSBPs,Long Position,Change from Previous Trading Day,Ranking,Name of FF Member /OSBPs,Short Position,Change from Previous Trading Day
13,0308(brokerage business),3439,-302,13,0316(brokerage business),2006,6,13,0275(brokerage business),2473,75
14,0009(brokerage business),3024,-941,14,0335(brokerage business),1976,-129,14,0136(brokerage business),2323,-4
15,0058(brokerage business),2743,-36,15,0034(brokerage business),1867,969,15,0253(brokerage business),2043,413
16,0069(brokerage business),2540,112,16,0009(brokerage business),1862,255,16,0323(brokerage business),1785,-21
17,0003(brokerage business),2440,1256,17,0268(brokerage business),1773,112,17,0003(brokerage business),1655,25
18,0186(brokerage business),2240,1,18,0178(brokerage business),1759,105,18,0059(brokerage business),1594,1010
19,0268(brokerage business),2208,-1356,19,0069(brokerage business),1746,127,19,0139(brokerage business),1587,-910
20,0139(brokerage business),1898,305,20,0275(brokerage business),1641,653,20,0169(brokerage business),1274,126
Total,,142924,-21610,Total,,81245,-434,Total,,91850,1093
Ranking,Name of FF Member /OSBPs,Volume,Change from Previous Trading Day,Ranking,Name of FF Member /OSBPs,Long Position,Change from Previous Trading Day,Ranking,Name of FF Member /OSBPs,Short Position,Change from Previous Trading Day
Contract Code：ni2611,,,,,,,,,,2026-08-21,
1,0148(brokerage business),4976,-1377,1,0103(brokerage business),11982,1394,1,0004(brokerage business),9620,66
2,0004(brokerage business),4949,-1198,2,0148(brokerage business),8219,75,2,0148(brokerage business),9336,271
3,0275(brokerage business),4616,-195,3,0004(brokerage business),6152,397,3,0272(brokerage business),4071,8
4,0253(brokerage business),3328,517,4,0096(brokerage business),4812,463,4,0042(brokerage business),2900,83
5,0163(brokerage business),2502,-1057,5,0268(brokerage business),2618,18,5,0184(brokerage business),2443,664
6,0059(brokerage business),1849,-256,6,0316(brokerage business),1923,1,6,0082(brokerage business),2316,618
7,0103(brokerage business),1820,352,7,0034(brokerage business),1682,32,7,0003(brokerage business),2232,528
8,0081(brokerage business),1537,-718,8,0059(brokerage business),1549,23,8,0253(brokerage business),2116,-382
9,0123(brokerage business),1312,-981,9,0163(brokerage business),1510,39,9,0022(brokerage business),2085,0
10,0240(brokerage business),980,-116,10,0178(brokerage business),1422,2,10,0335(brokerage business),2063,173
11,0058(brokerage business),973,342,11,0272(brokerage business),1002,55,11,0123(brokerage business),1863,6
12,0018(brokerage business),961,447,12,0013(brokerage business),841,0,12,0029(brokerage business),1763,0
13,0308(brokerage business),819,-15,13,0253(brokerage business),714,38,13,0139(brokerage business),1616,243
14,0310(brokerage business),800,214,14,0310(brokerage business),689,-100,14,0244(brokerage business),1541,-82
15,0082(brokerage business),780,-36,15,0003(brokerage business),643,83,15,0240(brokerage business),1516,58
16,0184(brokerage business),682,58,16,0018(brokerage business),636,-45,16,0323(brokerage business),1255,-3
17,0003(brokerage business),631,108,17,0161(brokerage business),564,157,17,0163(brokerage business),1040,65
18,0272(brokerage business),617,-63,18,0139(brokerage business),480,10,18,0308(brokerage business),963,411
19,0096(brokerage business),609,133,19,0081(brokerage business),445,16,19,0009(brokerage business),831,135
20,0034(brokerage business),517,-1551,20,0069(brokerage business),444,-19,20,0059(brokerage business),556,-8
Total,,35258,-5392,Total,,48327,2639,Total,,52126,2854
Ranking,Name of FF Member /OSBPs,Volume,Change from Previous Trading Day,Ranking,Name of FF Member /OSBPs,Long Position,Change from Previous Trading Day,Ranking,Name of FF Member /OSBPs,Short Position,Change from Previous Trading Day
Contract Code：ni2612,,,,,,,,,,2026-08-21,
1,0148(brokerage business),2758,-406,1,0148(brokerage business),9128,1228,1,0004(brokerage business),9342,278
2,0271(brokerage business),1582,1051,2,0096(brokerage business),2732,-9,2,0272(brokerage business),4804,36
3,0253(brokerage business),1499,804,3,0103(brokerage business),2308,412,3,0253(brokerage business),2770,1221
4,0163(brokerage business),1236,-439,4,0316(brokerage business),2188,0,4,0148(brokerage business),2273,50
5,0081(brokerage business),1106,-64,5,0003(brokerage business),1421,950,5,0042(brokerage business),2027,0
6,0003(brokerage business),954,928,6,0272(brokerage business),1028,2,6,0139(brokerage business),1819,-1
7,0275(brokerage business),920,-138,7,0244(brokerage business),893,-78,7,0022(brokerage business),1114,0
8,0004(brokerage business),911,-375,8,0178(brokerage business),883,151,8,0240(brokerage business),878,83
9,0034(brokerage business),825,434,9,0004(brokerage business),842,31,9,0007(brokerage business),768,71
10,0103(brokerage business),761,216,10,0263(brokerage business),746,2,10,0153(brokerage business),533,530
11,0153(brokerage business),536,528,11,0059(brokerage business),548,5,11,0077(brokerage business),443,-1
12,0240(brokerage business),286,112,12,0034(brokerage business),447,46,12,0308(brokerage business),404,12
13,0123(brokerage business),236,-428,13,0268(brokerage business),407,17,13,0163(brokerage business),383,152
14,0320(brokerage business),187,45,14,0163(brokerage business),381,36,14,0331(brokerage business),367,0
15,0096(brokerage business),185,-65,15,0038(brokerage business),374,8,15,0052(brokerage business),290,1
16,0308(brokerage business),172,-13,16,0308(brokerage business),368,26,16,0295(brokerage business),283,19
17,0178(brokerage business),154,16,17,0009(brokerage business),364,0,17,0103(brokerage business),242,207
18,0268(brokerage business),148,35,18,0123(brokerage business),312,11,18,0096(brokerage business),223,0
